순번,생성일,생성시분,링크ID,도로관리기관,통행속도,Unnamed: 0_x,Source_x,Target_x,LANES_x,ROAD_RANK_x,ROAD_NO_x,ROAD_NAME_x,ROAD_USE_x,MULTI_LINK_x,CONNECT_x,MAX_SPD_x,REST_VEH_x,REST_W_x,REST_H_x,C-ITS_x,LENGTH_x,UPDATEDATE_x,시간
2010995,20231106,10,4050000301,10078901.0,30.0,180319,4050000500,4050000502,1,106,1139,1100로,0,0,0,40,0,0,0,0,350.5582312,20230519,0.7011164624
120666904,20231106,2135,4050000302,10078901.0,48.8,124334,4050000502,4050000201,1,106,1139,1100로,0,0,0,40,0,0,0,0,3133.02215,20230519,3.852076413934426
123395005,20231106,2200,4050000303,10078901.0,52.0,29224,4050000201,4050000200,1,106,1139,1100로,0,0,0,40,0,0,0,0,209.3764488,20230519,0.24158821015384613
122712981,20231106,2155,4050000401,10078901.0,45.6,75536,4050000502,4050000500,1,106,1139,1100로,0,0,0,40,0,0,0,0,339.7109608,20230519,0.44698810631578945
112482608,20231106,2000,4050000402,10078901.0,51.8,365518,4050000201,4050000502,1,106,1139,1100로,0,0,0,40,0,0,0,0,3113.983604,20230519,3.6069308154440156
126805133,20231106,2245,4050000403,10078901.0,52.6,498489,4050000200,4050000201,1,106,1139,1100로,0,0,0,40,0,0,0,0,209.4192217,20230519,0.23888124148288975
51788780,20231106,845,4050000701,10078901.0,66.4,110306,4050000501,4050000400,1,106,1117,산록서로,0,0,0,60,0,0,0,0,2785.45614,20230519,2.516978439759036
92022777,20231106,1550,4050000702,10078901.0,63.0,374413,4050000500,4050000501,1,106,1117,산록서로,0,0,0,60,0,0,0,0,186.4819902,20230519,0.17760189542857144
81793402,20231106,1425,4050000801,10078901.0,63.0,213135,4050000400,4050000501,1,106,1117,산록서로,0,0,0,60,0,0,0,0,2780.5438,20230519,2.6481369523809524
103616463,20231106,1805,4050000802,10078901.0,56.3,346557,4050000501,4050000500,1,106,1117,산록서로,0,0,0,60,0,0,0,0,174.1682298,20230519,0.1856144544937833
102252473,20231106,1755,4050000902,10078901.0,47.8,104173,4050000900,4050000503,1,106,1117,1100로,0,0,0,60,0,0,0,0,190.3153232,20230519,0.2388895270292887
129533246,20231106,2305,4050000903,10078901.0,52.0,401339,4050000503,4050000500,1,106,1117,1100로,0,0,0,60,0,0,0,0,909.9315857,20230519,1.0499210604230769
126805144,20231106,2245,4050001002,10078901.0,58.0,320021,4050000500,4050000503,1,106,1117,1100로,0,0,0,60,0,0,0,0,916.3602056,20230519,0.9479588333793103
126805145,20231106,2245,4050001003,10078901.0,52.0,152385,4050000503,4050000900,1,106,1117,1100로,0,0,0,60,0,0,0,0,192.7766262,20230519,0.2224345686923077
48379324,20231106,800,4050001300,10078901.0,58.8,360265,4050001000,4050000800,1,106,1117,산록북로,0,0,0,60,0,0,0,0,999.3253081,20230519,1.0197197021428572
56562128,20231106,945,4050001400,10078901.0,59.7,125211,4050000800,4050001000,1,106,1117,산록북로,0,0,0,60,0,0,0,0,1003.688617,20230519,1.0087322783919597
110436558,20231106,1935,4050001500,10078901.0,46.5,181582,4050001100,4050000900,1,106,1117,1100로,0,0,0,60,0,0,0,0,402.9299229,20230519,0.5199095779354839
109072527,20231106,1915,4050001600,10078901.0,49.3,279582,4050000900,4050001100,1,106,1117,1100로,0,0,0,60,0,0,0,0,413.2306289,20230519,0.5029176010953347
53152594,20231106,900,4050001701,10078901.0,45.3,376322,4050000601,4050000600,1,106,1112,비자림로,0,0,0,60,0,0,0,0,624.4032239,20230519,0.827024137615894
86567089,20231106,1510,4050001702,10078901.0,45.3,520280,4050000602,4050000601,1,106,1112,비자림로,1,0,0,60,0,0,0,0,137.9978854,20230519,0.1827786561589404
1329137,20231106,5,4050001801,10078901.0,53.0,256537,4050000600,4050000601,1,106,1112,비자림로,0,0,0,60,0,0,0,0,634.9791515,20230519,0.7188443224528301
1329138,20231106,5,4050001802,10078901.0,53.0,401338,4050000601,4050000602,1,106,1112,비자림로,0,0,0,60,0,0,0,0,129.1017171,20230519,0.14615288728301887
56562138,20231106,945,4050001901,10078901.0,65.3,115627,4050000800,4050000801,1,106,1117,산록북로,0,0,0,60,0,0,0,0,1779.777386,20230519,1.635323784992343
86567096,20231106,1510,4050001902,10078901.0,59.3,154952,4050000801,4050001100,1,106,1117,산록북로,0,0,0,60,0,0,0,0,679.9905112,20230519,0.6880173806408094
56562141,20231106,945,4050002001,10078901.0,56.8,372260,4050001100,4050000801,1,106,1117,산록북로,0,0,0,60,0,0,0,0,680.7972758,20230519,0.7191520519014084
76337932,20231106,1325,4050002002,10078901.0,57.4,353509,4050000801,4050000800,1,106,1117,산록북로,0,0,0,60,0,0,0,0,1778.38911,20230519,1.8589433205574915
93386736,20231106,1600,4050002100,10078901.0,57.3,228805,4050001500,4050001000,1,106,1117,산록북로,0,0,0,60,0,0,0,0,3319.157082,20230519,3.475557153926702
110436573,20231106,1935,4050002200,10078901.0,58.3,413495,4050001000,4050001500,1,106,1117,산록북로,0,0,0,60,0,0,0,0,3326.275723,20230519,3.4232683255574616
2011031,20231106,10,4050002300,10078901.0,34.0,242006,4050001700,4050001000,2,107,-,산록북로,0,0,0,50,0,0,0,0,567.8895186,20230519,1.002157974
96796610,20231106,1645,4050002400,10078901.0,54.0,409670,4050001000,4050001700,2,107,-,산록북로,0,0,0,50,0,0,0,0,570.9784087,20230519,0.6344204541111111
1329154,20231106,5,4050002900,10078901.0,40.0,237827,4050001800,4050001500,1,107,-,산록북로,0,0,0,60,0,0,0,0,559.5902306,20230519,0.8393853459
4738570,20231106,30,4050003000,10078901.0,56.0,417396,4050001500,4050001800,1,107,-,산록북로,0,0,0,60,0,0,0,0,577.2127361,20230519,0.61844221725
122030997,20231106,2150,4050003301,10078901.0,51.8,409146,4050000605,4050002200,1,106,1131,516로,0,0,0,50,0,0,0,0,2915.918268,20230519,3.377511507335907
72928283,20231106,1250,4050003302,10078901.0,60.0,419051,4050000604,4050000605,1,106,1131,516로,1,0,0,50,0,0,0,0,307.7918864,20230519,0.30779188640000005
112482650,20231106,2000,4050003303,10078901.0,57.0,342413,4050000604,4050000605,1,106,1131,516로,0,0,0,50,0,0,0,0,246.6970915,20230519,0.2596811489473684
11557413,20231106,135,4050003304,10078901.0,53.8,307376,4050000600,4050000604,1,106,1131,516로,0,0,0,50,0,0,0,0,1905.422832,20230519,2.1250068758364313
96796621,20231106,1645,4050003401,10078901.0,56.0,353780,4050002200,4050000605,1,106,1131,516로,0,0,0,50,0,0,0,0,2907.084861,20230519,3.114733779642857
132261385,20231106,2345,4050003402,10078901.0,54.0,144533,4050000605,4050000604,1,106,1131,516로,0,0,0,50,0,0,0,0,327.9892628,20230519,0.3644325142222222
126805178,20231106,2245,4050003403,10078901.0,60.0,311506,4050000605,4050000604,1,106,1131,516로,0,0,0,50,0,0,0,0,250.992176,20230519,0.25099217599999996
44969902,20231106,715,4050003404,10078901.0,58.6,281733,4050000604,4050000600,1,106,1131,516로,0,0,0,50,0,0,0,0,1891.148461,20230519,1.9363294822525596
113846705,20231106,2015,4050003500,10078901.0,62.3,353781,4050001900,4050001800,1,106,1117,산록북로,0,0,0,60,0,0,0,0,385.7783509,20230519,0.3715361324879615
51788825,20231106,845,4050003600,10078901.0,65.0,256554,4050001800,4050001900,1,106,1117,산록북로,0,0,0,60,0,0,0,0,386.9373923,20230519,0.35717297750769234
15648730,20231106,215,4050003701,10078901.0,32.0,421255,4050002500,4050002501,1,107,-,1100로,0,0,0,50,0,0,0,0,169.8240936,20230519,0.31842017549999996
4738582,20231106,30,4050003702,10078901.0,50.7,400694,4050002501,4050001102,1,106,1139,1100로,0,0,0,60,0,0,0,0,1126.044682,20230519,1.3325972568047335
62699421,20231106,1055,4050003703,10078901.0,38.0,115164,4050001102,4050001101,1,106,1139,1100로,0,0,0,60,0,0,0,0,1039.911579,20230519,1.6419656510526317
42924238,20231106,655,4050003704,10078901.0,44.3,228693,4050001101,4050001100,1,106,1139,1100로,0,0,0,60,0,0,0,0,543.6806832,20230519,0.7363620991422122
105662515,20231106,1835,4050003801,10078901.0,52.5,331859,4050002501,4050002500,1,107,-,1100로,0,0,0,50,0,0,0,0,171.5107941,20230519,0.1960123361142857
127487213,20231106,2250,4050003802,10078901.0,62.0,259527,4050001102,4050002501,1,106,1139,1100로,0,0,0,60,0,0,0,0,1120.576664,20230519,1.084429029677419
109754582,20231106,1925,4050003803,10078901.0,53.5,258394,4050001101,4050001102,1,106,1139,1100로,0,0,0,60,0,0,0,0,1037.000198,20230519,1.162990876261682
109754583,20231106,1925,4050003804,10078901.0,52.3,148804,4050001100,4050001101,1,106,1139,1100로,0,0,0,60,0,0,0,0,550.8210422,20230519,0.6319170656214149
109754584,20231106,1925,4050003900,10078901.0,57.0,456025,4050002000,4050001900,1,106,1117,산록북로,0,0,0,60,0,0,0,0,522.1164897,20230519,0.5495963049473683
53152635,20231106,900,4050004000,10078901.0,61.0,521829,4050001900,4050002000,1,106,1117,산록북로,0,0,0,60,0,0,0,0,501.5143955,20230519,0.4932928480327869
112482668,20231106,2000,4050004100,10078901.0,43.0,280477,4050002000,4050001900,1,107,-,산록북로,0,0,0,60,0,0,0,0,481.0512533,20230519,0.6712343069302324
12239316,20231106,145,4050004200,10078901.0,55.3,456376,4050001900,4050002000,1,107,-,산록북로,0,0,0,60,0,0,0,0,482.0576259,20230519,0.5230281655334539
122713044,20231106,2155,4050004500,10078901.0,57.0,371904,4050002300,4050002000,1,106,1117,산록북로,0,0,0,60,0,0,0,0,434.149382,20230519,0.45699934947368415
112482671,20231106,2000,4050004600,10078901.0,53.0,197970,4050002000,4050002300,1,106,1117,산록북로,0,0,0,60,0,0,0,0,426.48376,20230519,0.4828118037735849
79065703,20231106,1355,4050004701,10078901.0,45.0,222996,4050002403,4050002400,1,106,1131,516로,0,0,0,30,0,0,0,0,80.70500914,20230519,0.10760667885333333
70200596,20231106,1215,4050004703,10078901.0,51.0,197894,4050002200,4050002201,1,106,1131,516로,0,0,0,50,0,0,0,0,1713.291903,20230519,2.0156375329411764
124077099,20231106,2205,4050004704,10078901.0,49.0,234509,4050002201,4050002403,1,106,1131,516로,0,0,0,50,0,0,0,0,67.78806872,20230519,0.08300579843265304
96796645,20231106,1645,4050004801,10078901.0,47.0,201661,4050002400,4050002403,1,106,1131,516로,0,0,0,30,0,0,0,0,87.46837315,20230519,0.11166175295744682
73610244,20231106,1255,4050004803,10078901.0,49.7,153690,4050002403,4050002201,1,106,1131,516로,0,0,0,50,0,0,0,0,67.7664542,20230519,0.0818106086921529
132261411,20231106,2345,4050004804,10078901.0,52.8,53929,4050002201,4050002200,1,106,1131,516로,0,0,0,50,0,0,0,0,1719.080639,20230519,1.9535007261363635
120666979,20231106,2135,4050004901,10078901.0,49.0,412725,4050002400,4050002301,1,106,1117,산록북로,0,0,0,60,0,0,0,0,350.22438,20230519,0.42884617959183674
