;행정구역;2023년10월_총인구수;2023년10월_세대수;2023년10월_세대당 인구;2023년10월_남자 인구수;2023년10월_여자 인구수;2023년10월_남여 비율;filtered_address;nodes count;average population
0;제주특별자치도 제주특별자치도 제주시 (5011000000);492233;224.482;2,19;245.874;246.359;1,00;;0;
1;제주특별자치도 제주시 한림읍 (5011025000);2098;10.768;1,95;10.806;10.174;1,06;한림읍;194;10.814432989690722
2;제주특별자치도 제주시 애월읍 (5011025300);37826;17.698;2,14;19.4;18.426;1,05;애월읍;304;124.42763157894737
3;제주특별자치도 제주시 구좌읍 (5011025600);15358;8.055;1,91;7.844;7.514;1,04;구좌읍;178;86.28089887640449
4;제주특별자치도 제주시 조천읍 (5011025900);25785;11.971;2,15;13.185;12.6;1,05;조천읍;207;124.56521739130434
5;제주특별자치도 제주시 한경면 (5011031000);9597;5.154;1,86;4.796;4.801;1,00;한경면;105;91.4
6;제주특별자치도 제주시 추자면 (5011032000);1577;952.0;1,66;859.0;718.0;1,20;추자면;0;
7;제주특별자치도 제주시 우도면 (5011033000);1612;860.0;1,87;860.0;752.0;1,14;우도면;0;
8;제주특별자치도 제주시 일도일동 (5011051000);22;1.335;1,65;1.155;1.045;1,11;일도일동;18;1.2222222222222223
9;제주특별자치도 제주시 일도이동 (5011052000);31642;13.455;2,35;15.514;16.128;0,96;일도이동;19;1665.3684210526317
10;제주특별자치도 제주시 이도일동 (5011053000);7652;3.954;1,94;3.766;3.886;0,97;이도일동;19;402.7368421052632
11;제주특별자치도 제주시 이도이동 (5011054000);48777;21.454;2,27;23.779;24.998;0,95;이도이동;98;497.7244897959184
12;제주특별자치도 제주시 삼도일동 (5011055000);12982;6.048;2,15;6.371;6.611;0,96;삼도일동;11;1180.1818181818182
13;제주특별자치도 제주시 삼도이동 (5011056000);7697;4.07;1,89;4.004;3.693;1,08;삼도이동;25;307.88
14;제주특별자치도 제주시 용담일동 (5011057000);6652;3.434;1,94;3.47;3.182;1,09;용담일동;29;229.3793103448276
15;제주특별자치도 제주시 용담이동 (5011058000);13878;6.383;2,17;7.039;6.839;1,03;용담이동;35;396.51428571428573
16;제주특별자치도 제주시 건입동 (5011059000);8805;4.176;2,11;4.469;4.336;1,03;건입동;40;220.125
17;제주특별자치도 제주시 화북동 (5011060000);23395;9.666;2,42;11.609;11.786;0,98;화북동;94;248.88297872340425
18;제주특별자치도 제주시 삼양동 (5011061000);26359;10.228;2,58;13.202;13.157;1,00;삼양동;37;712.4054054054054
19;제주특별자치도 제주시 봉개동 (5011062000);5278;2.444;2,16;2.736;2.542;1,08;봉개동;58;91.0
20;제주특별자치도 제주시 아라동 (5011063000);39937;17.205;2,32;19.6;20.337;0,96;아라동;87;459.04597701149424
21;제주특별자치도 제주시 오라동 (5011064000);15965;6.35;2,51;8.047;7.918;1,02;오라동;60;266.0833333333333
22;제주특별자치도 제주시 연동 (5011065000);42628;22.263;1,91;20.954;21.674;0,97;연동;106;402.1509433962264
23;제주특별자치도 제주시 노형동 (5011066000);55403;24.027;2,31;27.082;28.321;0,96;노형동;225;246.23555555555555
24;제주특별자치도 제주시 외도동 (5011067000);22566;8.985;2,51;11.307;11.259;1,00;외도동;55;410.2909090909091
25;제주특별자치도 제주시 이호동 (5011068000);4429;1.971;2,25;2.312;2.117;1,09;이호동;23;192.56521739130434
26;제주특별자치도 제주시 도두동 (5011069000);3253;1.576;2,06;1.708;1.545;1,11;도두동;37;87.91891891891892
